OBJECTID,Facility_N,Type,Owner,County,Sub_County,Division,Location,Sub_Locati,Constituen,Nearest_To,Latitude,Longitude
1, CDF Kiriari Dispensary,Dispensary,Ministry of Health,Embu,Manyatta,Manyatta,Ruguru,Ruguru,MANYATTA,Kiriari -market,-0.3994,37.47605
2, St Jude's Huruma Community Health Services,Medical Clinic,Private Practice - Unspecified,Nairobi,Mathare,Huruma,Huruma,Huruma,MATHARE,Kariobangi Market,-1.26174,36.87765
3,12 Engineers,Dispensary,Ministry of Health,Kiambu,Thika West, , , ,JUJA, ,-1.07354,37.14413
4,3Kl Maternity & Nursing Home,Nursing Home,Private Practice - Clinical Officer,Kajiado,Kajiado North,Ongata Rongai,Gataka,Gataka,KAJIADO NORTH,Ongata Ronga,-1.3757,36.72277
5,8Th Street Clinic,Medical Clinic,Private Enterprise (Institution),Kajiado,Kajiado North,Isinya,Isinya,Isinya Township,KAJIADO NORTH,Isinya,-1.41187,36.50854
6,AAR Adams Health Centre,Medical Clinic,Private Practice - General Practitioner,Nairobi,Kibra,Woodly,Woodly,Woodly,KIBRA,Adams,-1.30047,36.73162
7,AAR City Centre Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,Starehe,Starehe,Central Business District, ,STAREHE,Nairobi,-1.28443,36.82135
8,AAR Clinic Sarit Centre (Westlands),Medical Clinic,Private Enterprise (Institution),Nairobi,Westlands,Parklands,Parklands,Upper Parklands,WESTLANDS,Nairobi,-1.2617,36.80211
9,AAR Eldoret,Medical Clinic,Private Practice - General Practitioner,Uasin Gishu,Eldoret West,Turbo, , ,ELDORET NORTH,Eldoret,0.51676,35.27422
10,AAR Gwh Health Care Ltd,Health Centre,Private Enterprise (Institution),Nairobi,Dagoretti North,Kilimani, , ,DAGORETTI NORTH, ,-1.29467,36.80897
11,AAR Health Care,Health Centre,Private Practice - Medical Specialist,Nairobi,Embakasi East,Embakasi,Embakasi,Tassia,EMBAKASI EAST,Donholm,-1.30954,36.9124
12,AAR Health Care-Kisumu,Medical Clinic,Private Practice - General Practitioner,Kisumu,Kisumu East,Winam,Township,Market Milimani,KISUMU TOWN EAST,Central Business District,-0.10465,34.75328
13,AAR Healthcare Limited (Karen),Medical Clinic,Private Enterprise (Institution),Nairobi,Langata,Lang'ata,Lang'ata,Lang'ata,LANG'ATA,Great Jubilee shopping  center,-1.3408,36.75777
14,AAR Kariobangi Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,Ruaraka,Kasarani,Kasarani, ,RUARAKA,Nairobi,-1.23625,36.96017
15,AAR Medical Services (Docks),Medical Clinic,Private Enterprise (Institution),Mombasa,Mvita,Island,Ganjoni,Ganjoni,MVITA,Mombasa,-4.06012,39.66429
16,AAR Mountain mall,Medical Clinic,Private Practice - Nurse / Midwife,Nairobi,Roysambu,Roysambu,Roysambu,Garden,ROYSAMBU,Rosters,-1.23283,36.87403
